CHAMP1,CHAMP2,CHAMP1_POSITION,CHAMP2_POSITION,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY,PERCENTDEFEAT,YEAR,SEASON,TEAM
LeeSin,Thresh,AD_CARRY,SUPPORT,5,21,26,0.19230769230769232,0.8076923076923077,2015,Spring,Red
Rumble,RekSai,TOP_LANER,JUNGLER,12,4,16,0.75,0.25,2015,Spring,Blue
Lucian,Morgana,AD_CARRY,SUPPORT,2,6,8,0.25,0.75,2015,Spring,Blue
Vi,Ahri,JUNGLER,MID_LANER,5,3,8,0.625,0.375,2015,Spring,Red
Vi,Braum,AD_CARRY,SUPPORT,1,1,2,0.5,0.5,2015,Spring,Red
Tristana,Braum,AD_CARRY,SUPPORT,1,1,2,0.5,0.5,2015,Spring,Red
Kassadin,RekSai,TOP_LANER,JUNGLER,2,1,3,0.6666666666666666,0.3333333333333333,2015,Spring,Red
RekSai,Zed,JUNGLER,MID_LANER,4,3,7,0.5714285714285714,0.42857142857142855,2015,Spring,Red
RekSai,Blitzcrank,AD_CARRY,SUPPORT,1,1,2,0.5,0.5,2015,Spring,Red
RekSai,Zed,JUNGLER,MID_LANER,9,5,14,0.6428571428571429,0.35714285714285715,2015,Spring,Blue
RekSai,Braum,JUNGLER,SUPPORT,3,3,6,0.5,0.5,2015,Spring,Blue
Corki,Braum,AD_CARRY,SUPPORT,3,3,6,0.5,0.5,2015,Spring,Blue
Jinx,Janna,AD_CARRY,SUPPORT,4,9,13,0.3076923076923077,0.6923076923076923,2015,Spring,Red
Graves,Janna,AD_CARRY,SUPPORT,10,11,21,0.47619047619047616,0.5238095238095238,2015,Spring,Blue
Renekton,JarvanIV,TOP_LANER,JUNGLER,1,2,3,0.3333333333333333,0.6666666666666666,2015,Spring,Red
JarvanIV,Kassadin,JUNGLER,MID_LANER,1,3,4,0.25,0.75,2015,Spring,Red
JarvanIV,Leblanc,JUNGLER,MID_LANER,5,8,13,0.38461538461538464,0.6153846153846154,2015,Spring,Red
Morgana,RekSai,TOP_LANER,JUNGLER,2,0,2,1.0,0.0,2015,Spring,Blue
RekSai,Lulu,JUNGLER,MID_LANER,9,12,21,0.42857142857142855,0.5714285714285714,2015,Spring,Blue
DrMundo,Nunu,TOP_LANER,JUNGLER,0,1,1,0.0,1.0,2015,Spring,Red
Nunu,Zed,JUNGLER,MID_LANER,0,2,2,0.0,1.0,2015,Spring,Red
Nunu,Braum,AD_CARRY,SUPPORT,0,1,1,0.0,1.0,2015,Spring,Red
