,CHAMP1,CHAMP2,Year,Season,Team,CHAMP1_POS,CHAMP2_POS,Total_Played,Wins
159,JarvanIV,TwistedFate,2015,Spring,blue,Jungle,Middle,1,0
160,Darius,Lulu,2015,Spring,blue,Jungle,Middle,1,0
161,Sejuani,Ezreal,2015,Spring,blue,Jungle,Middle,1,1
162,Sejuani,Xerath,2015,Spring,blue,Jungle,Middle,1,0
163,Nautilus,Ahri,2015,Spring,blue,Jungle,Middle,1,1
164,Amumu,Leblanc,2015,Spring,blue,Jungle,Middle,1,0
165,Sejuani,Diana,2015,Spring,blue,Jungle,Middle,2,1
166,Sion,Diana,2015,Spring,blue,Jungle,Middle,1,1
167,Gragas,Leblanc,2015,Spring,blue,Jungle,Middle,3,3
168,RekSai,Vladimir,2015,Spring,blue,Jungle,Middle,1,1
169,Nautilus,Cassiopeia,2015,Spring,blue,Jungle,Middle,1,1
170,Gragas,Fizz,2015,Spring,blue,Jungle,Middle,1,0
171,Gragas,TwistedFate,2015,Spring,blue,Jungle,Middle,1,1
172,JarvanIV,Diana,2015,Spring,blue,Jungle,Middle,2,1
173,Nidalee,Viktor,2015,Spring,blue,Jungle,Middle,1,1
174,Elise,Ahri,2015,Spring,blue,Jungle,Middle,2,0
175,Khazix,Orianna,2015,Spring,blue,Jungle,Middle,5,4
176,Elise,Orianna,2015,Spring,blue,Jungle,Middle,3,1
177,Khazix,Ziggs,2015,Spring,blue,Jungle,Middle,3,2
178,Khazix,Talon,2015,Spring,blue,Jungle,Middle,1,1
179,Khazix,Tristana,2015,Spring,blue,Jungle,Middle,1,1
180,Nunu,Orianna,2015,Spring,blue,Jungle,Middle,1,0
181,Elise,Syndra,2015,Spring,blue,Jungle,Middle,1,1
182,Rammus,Ziggs,2015,Spring,blue,Jungle,Middle,1,0
183,Nocturne,Xerath,2015,Spring,blue,Jungle,Middle,1,1
184,Khazix,Syndra,2015,Spring,blue,Jungle,Middle,2,0
185,Khazix,Fizz,2015,Spring,blue,Jungle,Middle,2,2
186,Zac,Leblanc,2015,Spring,blue,Jungle,Middle,1,0
187,Pantheon,Zed,2015,Spring,blue,Jungle,Middle,2,0
188,JarvanIV,Ziggs,2015,Spring,blue,Jungle,Middle,1,0
