,CHAMP1_x,Team_x,CHAMP2_x,Year_x,CHAMP1_y,CHAMP2_y,Partidas_x,bResult
230,Mage/Fighter/,blue,Fighter/Assassin/,2016,Tank/Mage/,Fighter/,1,0
231,Tank/Fighter/,blue,Marksman/,2016,Fighter/Assassin/,Fighter/Assassin/,2,0
232,Fighter/Tank/,blue,Fighter/,2016,Fighter/Tank/,Mage/Fighter/,6,3
233,Support/Mage/,blue,Mage/Fighter/,2016,Fighter/Tank/,Tank/Fighter/,1,1
234,Fighter/Tank/,blue,Fighter/,2016,Fighter/Assassin/,Mage/Fighter/,11,3
235,Fighter/Assassin/,blue,Mage/Fighter/,2016,Fighter/Assassin/,Tank/Fighter/,1,1
236,Support/Tank/,blue,Fighter/,2016,Fighter/Tank/,Mage/Fighter/,3,2
237,Mage/,blue,Fighter/,2016,Fighter/Assassin/,Mage/Fighter/,2,0
238,Fighter/Assassin/,blue,Mage/Fighter/,2016,Fighter/Tank/,Assassin/Fighter/,4,2
239,Mage/,blue,Fighter/Assassin/,2016,Tank/,Assassin/Fighter/,1,1
240,Tank/Fighter/,blue,Fighter/Assassin/,2016,Fighter/Assassin/,Fighter/Tank/,1,0
241,Tank/,blue,Fighter/,2016,Fighter/Assassin/,Mage/Fighter/,2,0
242,Support/Tank/,blue,Mage/Fighter/,2016,Marksman/,Fighter/,1,1
243,Tank/Fighter/,blue,Marksman/,2016,Fighter/Tank/,Fighter/,4,3
244,Tank/Mage/,blue,Assassin/Fighter/,2016,Mage/,Assassin/Fighter/,1,0
245,Fighter/,blue,Mage/Fighter/,2016,Fighter/Assassin/,Marksman/,1,0
246,Tank/,blue,Mage/Fighter/,2016,Fighter/,Assassin/Fighter/,1,0
247,Fighter/Assassin/,blue,Fighter/,2016,Tank/Fighter/,Assassin/Fighter/,2,1
248,Support/Tank/,blue,Assassin/Fighter/,2016,Mage/,Fighter/,1,0
249,Tank/Fighter/,blue,Fighter/,2016,Fighter/Tank/,Mage/Fighter/,5,2
250,Fighter/Assassin/,blue,Fighter/,2016,Fighter/Tank/,Mage/Fighter/,10,4
251,Marksman/,blue,Tank/Fighter/,2016,Fighter/Tank/,Assassin/Fighter/,1,1
252,Support/Tank/,blue,Marksman/,2016,Mage/Fighter/,Mage/Fighter/,1,1
253,Tank/Fighter/,blue,Fighter/,2016,Marksman/,Mage/Fighter/,1,1
254,Tank/Fighter/,blue,Marksman/,2016,Mage/,Assassin/Fighter/,1,0
255,Fighter/Assassin/,blue,Fighter/Assassin/,2016,Marksman/Fighter/,Mage/Fighter/,1,0
256,Fighter/,blue,Fighter/,2016,Mage/Marksman/,Mage/Fighter/,1,1
257,Tank/Fighter/,blue,Assassin/Fighter/,2016,Fighter/Tank/,Marksman/,3,3
258,Fighter/Assassin/,blue,Assassin/Fighter/,2016,Marksman/Fighter/,Fighter/,1,1
259,Mage/Fighter/,blue,Marksman/,2016,Tank/Mage/,Assassin/Fighter/,2,0
260,Tank/Fighter/,blue,Marksman/,2016,Fighter/Tank/,Mage/Fighter/,4,1
261,Tank/Fighter/,blue,Fighter/,2016,Marksman/,Assassin/Fighter/,3,2
262,Assassin/Fighter/,blue,Fighter/,2016,Tank/Mage/,Mage/Fighter/,6,5
263,Tank/Fighter/,blue,Tank/Fighter/,2016,Fighter/,Fighter/,1,1
264,Mage/Fighter/,blue,Assassin/Fighter/,2016,Fighter/Assassin/,Marksman/,2,1
265,Marksman/Fighter/,blue,Mage/Fighter/,2016,Mage/Fighter/,Fighter/,1,0
266,Fighter/Tank/,blue,Assassin/Fighter/,2016,Mage/Fighter/,Mage/Fighter/,1,1
267,Tank/Fighter/,blue,Mage/Fighter/,2016,Marksman/Fighter/,Fighter/,1,1
268,Tank/Fighter/,blue,Marksman/,2016,Fighter/Assassin/,Mage/Fighter/,4,3
269,Tank/Fighter/,blue,Tank/Fighter/,2016,Marksman/Fighter/,Fighter/,1,1
270,Tank/Fighter/,blue,Marksman/,2016,Fighter/Assassin/,Marksman/,1,0
271,Fighter/,blue,Fighter/,2016,Marksman/Fighter/,Mage/Fighter/,1,1
272,Tank/Fighter/,blue,Marksman/,2016,Tank/Mage/,Assassin/Mage/,1,1
273,Mage/Fighter/,blue,Fighter/,2016,Fighter/Assassin/,Marksman/,3,1
274,Marksman/Fighter/,blue,Assassin/Fighter/,2016,Tank/Fighter/,Fighter/Assassin/,1,1
